statement,truth
"Says ""Michael Bennet votes for President Obama’s agenda 98 percent of the time. Hardly independent, hardly bipartisan.""",3
"Says Hillary Clinton ""said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers.""",5
"""I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.""",1
"Says Russ Feingold’s ""campaign is powered by small-dollar contributions like ours.""",4
"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",5
"Says Donald Trump has ""bankrupted his companies not once, not twice but four times.""",4
"Says the Clinton Foundation ""accepted millions and millions of dollars from governments like Algeria, Saudi Arabia, Oman and the United Arab Emirates,"" which violated ""a ban on all contributions to the Foundation from foreign nations.""",2
"""A gay man who survived #orlando hate crime can STILL show up to work in FL tomorrow and have his boss fire him simply because he is gay.""",4
"""We’re the only advanced democracy in the world that makes it harder for people to vote.""",3
"""Assault rifles already are banned.""",2
Says the unemployment rate for African-American youths is 59 percent.,2
"Says Donald Trump has said he loves war, ""including with nukes.""",3
"Says delegates can’t ""legally"" change the Republican National Convention rules to prevent Donald Trump’s nomination.",2
"Even among ""second and third generation"" Muslims in the United States, ""there’s no real assimilation.""",1
"""Swaziland has the highest rate of HIV infection in the world.""",5
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",4
"""ISIS is running through a border made porous by Barack Obama’s policies.""",0
"""Of all the people in federal prison for possession of illegal substances, 77 percent of them are not citizens of the United States.""",3
"The average student debt ""coming out of the University of Wisconsin-Madison is something like 28,000 dollars.""",4
"There are ""500 failing schools in North Carolina""",3
"""We’ve seen more manufacturing jobs created since I’ve been president than anytime since the 1990s. That’s a fact.""",3
"""According to Pew Research, 99 percent of the people in Afghanistan support oppressive Sharia law.""",4
"American colleges amount to a ""cartel.""",2
"""The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.""",0
"Last year, ""244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm.""",4
"Says Apple products are currently ""90 percent conflict-free,"" and ""Intel is 100 percent conflict-free.""",2
"""He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.""",2
"""In America, radical speech is not a crime.""",4
"""Nine million people have lower-cost HIV/AIDS medicine because of the work of the Clinton Foundation and my husband.""",5
"Says if you try to hide marijuana in a hemp field, ""it becomes worthless. The THC goes away.""",4
"""More than 32,000 Americans lose their lives to gun violence each year.""",4
"The rifle used by Omar Mateen ""shoots off 700 rounds in a minute.""",2
"""Only half of the murders in the city of St. Louis get solved.""",5
"""There are tens of thousands of homes right here in California where you turn on the faucet but you can’t drink the water.""",3
"""Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.""",4
"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""",1
"""Never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.""",0
"Says Nevada lawmakers voted to allow teenaged boys to ""shower with your teenaged girls in public school locker rooms.""",1
"Says Hillary Clinton ""plans to massively increase admissions (of Middle East refugees) ¦ including a 500 percent increase in Syrian refugees coming into our country.""",4
"""Florida doesn’t regulate assault weapons or .50 caliber rifles or large-capacity ammunition magazines. It doesn’t require a permit to purchase a gun. It doesn’t require any registration, whatsoever.""",4
"There is ""no system to vet"" refugees from the Middle East.",1
"""We admit more than 100,000 lifetime migrants from the Middle East each year.""",4
"Says Donald Trump mocked ""someone with a disability.""",5
"""The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.""",5
"""30,000 Arizonans may have no choice"" on Affordable Care Act coverage.",4
"There is ""no system to vet"" refugees from the Middle East.",1
"""We admit more than 100,000 lifetime migrants from the Middle East each year.""",4
"Says Donald Trump mocked ""someone with a disability.""",5
"""The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.""",5
"""30,000 Arizonans may have no choice"" on Affordable Care Act coverage.",4
"""Tuition-free public universities and colleges are just a pipe dream. False. They were both free up until the Vietnam War.""",2
"In Ohio, ""each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.""",2
"Says Ron Johnson voted to turn Medicare ""into a voucher program.""",4
"""Austin ISD has the highest graduation rate of every major city in Texas.""",2
"Says the United States has ""treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress.""",2
"Says he ""helped to draft parts of the Dodd-Frank Wall Street reform bill.""",3
"""Crime is rising.""",0
"Since 1978, college ""tuition nationwide has gone up something like four times the rate of inflation.""",5
"Says it’s not true that Florida black bears are an ""apex predator.""",3
Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,4
"""Our population has grown from about 1 million in the 1970s to almost 7 million today.""",3
"""Under (Obamacare), you can’t reward a person for better behavior. You can’t have incentives to be healthier.""",3
"""It is a fact that the economy does better when we have a Democrat in the White House.""",3
"Says Judge Gonzalo Curiel ""is a member of a club or society, very strongly pro-Mexican.""",2
